id,title,description,source,impact,effort,confidence,type,impact_reason,effort_reason,confidence_reason,verdict
idea-11,"Overtime Warning","A softer, earlier nudge than Foul Trouble Alerts, sent when a position is trending toward a risk rule but has not crossed it yet.","generated",4,4,4,"Risky Investment","Lets users course-correct before a rule is actually broken, which could meaningfully lift the post-briefing risk action rate the strategy already tracks as a comprehension metric.","Needs the same continuous real-time monitoring infrastructure as Foul Trouble Alerts, plus an additional approaching-versus-crossed threshold band, a genuinely resource-heavy build for an early team.","Same proven real-time alert pattern as Foul Trouble Alerts, and the earlier-warning framing is a stronger value case since it prevents damage rather than reporting it after the fact.","Do not build this before Foul Trouble Alerts. They share the same expensive real-time infrastructure, so ship the reactive alert first, prove the real-time pipeline is worth the cost, then decide if the proactive version is worth doubling down on."
idea-12,"Season Pass Tiers","The daily briefing stays free forever, a paid tier unlocks the league layer, commentator voice packs, and personal stat history.","generated",4,4,4,"Risky Investment","Directly tests the business's ability to charge, which the strategy has not yet addressed, and gives a concrete answer to whether this audience will pay for anything at all.","Requires payment infrastructure and tier-gating logic across features, several of which, league layer, voice packs, do not exist yet, so this depends on other unbuilt work.","Freemium tiering with premium unlocks is a proven monetization pattern, and fantasy sports players already pay for premium league tools in adjacent markets, a reasonable direct analog.","Do not build this until AI cost per user is understood, the strategy itself flags that as unresolved, and until at least the league layer exists to be a paid unlock. Design the pricing model now, build the payment plumbing later."
idea-13,"Trade Deadline Digest","A monthly summary comparing this month's discipline trend to last month, for users who want visibility without a daily habit.","generated",2,1,3,"Distraction","Offers a lower-frequency alternative to the exact daily habit the entire strategy is built to prove, risking that it becomes a comfortable substitute for opening the daily briefing rather than a complement to it.","Cheap to build, reuses the same aggregation approach as Buzzer Beater Recap over a longer window.","Monthly summary emails are reasonably proven in adjacent categories like financial statements, but there is no evidence this specific audience wants a lower-engagement option before the daily habit itself is even validated.","Skip this until after the daily open-rate hypothesis is proven. Offering an easier, monthly alternative before the daily habit is established risks giving lapsed users a permission slip to disengage instead of pulling them back in."
idea-14,"Bench Player Mode","A preview mode using sample mock data that lets a waitlisted or pre-signup visitor see what a real briefing looks like before connecting a live cTrader account.","generated",4,2,4,"High Potential","Directly targets the activation funnel; connecting a live trading account is the biggest ask in onboarding, and the strategy names an explicit 80 percent MCP connection completion target that a low-commitment preview could help hit.","Swaps the data source in the already-planned mapping and narration engine for synthetic inputs; mostly reuses infrastructure being built anyway.","Try-before-you-commit previews and sample dashboards are a proven conversion pattern in fintech and SaaS onboarding to reduce signup friction.","Build this as part of the waitlist landing page in the MTP. It turns a passive signup into an active preview experience and should meaningfully raise the share of signups who go on to connect a real account."
idea-15,"Foul Language Toggle","A simple two-option toggle, hype announcer or calm coach, shipped early as a scoped-down test of the full commentator voice personalization planned for later.","generated",4,1,3,"Bet","Cheaply tests demand for the personalization layer the strategy names as a later differentiator, informing whether the full commentator voice investment in phase 5 is worth building at all.","Two pre-written tone variants for the existing narration prompt template, no new infrastructure.","Tone and personality toggles are generally well received in consumer apps, but there is no direct evidence this specific audience wants voice choice this early rather than later, as the strategy itself assumes.","Low cost, worth testing early even though the strategy treats full personalization as a later-phase feature. If nobody touches the toggle, that is useful signal to deprioritize the larger phase 5 investment."
idea-16,"Free Throw Practice","An interactive first-run tutorial that walks a brand-new user through one full mock briefing cycle step by step before their first real briefing arrives.","generated",2,3,2,"Distraction","Solves the same comprehension problem as the much cheaper Injury Report tooltip, and a multi-step interactive tutorial risks feeling exactly like the homework the persona explicitly says current risk dashboards feel like.","A guided, multi-step walkthrough is a real UI build, heavier than a simple contextual tooltip for the same problem.","Interactive tutorials have mixed evidence, many users skip them entirely, and Marcus's persona specifically describes losing patience with anything that feels like homework.","Skip this. Injury Report solves the same problem for a fraction of the cost and without the friction of a mandatory walkthrough. If comprehension issues persist after that ships, revisit, but not before."
idea-17,"Draft Day Referral","When a user invites a friend, both get a one-time bonus, such as early access to a feature, framed as drafting a teammate.","generated",4,2,4,"High Potential","Directly targets the growth and virality business metrics the strategy names, new connected accounts per week and league invites per active user, with a concrete incentive rather than a passive invite link.","Adds a reward and tracking layer on top of the referral and invite-link infrastructure already planned for the MLP.","Give-one-get-one referral incentives are an extremely well proven consumer growth mechanic across categories.","Ship this alongside the invite link tracking already planned. It is a small addition on top of infrastructure that needs to exist anyway, and referral incentives reliably lift invite conversion over a bare link."
idea-18,"Technical Foul Warning","A rare, seriously toned alert, breaking from the playful framing, reserved for account-threatening events like an approaching margin call.","generated",5,4,4,"Risky Investment","Directly protects against the ethics assumption already flagged in this product's own risk analysis, that gamifying risk could dull a user's reaction to genuinely dangerous moments, making this a reputational and safety necessity, not just a feature.","Needs its own severity tier and tone break on top of the same real-time monitoring infrastructure Foul Trouble Alerts and Overtime Warning require.","Breaking tone for safety-critical alerts inside an otherwise playful product is a well-established pattern, banking apps do the same for fraud alerts, and it directly closes a named ethical risk in this product's own assumption set.","Even though this sits in the same expensive real-time bucket as the other alert ideas, prioritize it first among them. It is not a growth feature, it is protection against the one Leap of Faith assumption with reputational and regulatory stakes, framing personal risk as a game must not make users take on more risk than they otherwise would."
idea-19,"Pre-Match","A daily morning message that reads live account exposure, margin, and drawdown via cTrader MCP and reports it as a pre-game stat line, the live-data counterpart to Post-Game Recap and the strategy's own phase 1 daily briefing.","generated",5,3,4,"High Potential","This is the strategy's own phase 1 foundation, the entire North Star metric (daily briefings opened) and every other idea in this set, including Post-Game Recap, depends on it existing first.","Requires building the risk-to-stat mapping engine for the first time (previously assumed to already exist when scoring Post-Game Recap), plus a scheduled job, prompt template, and delivery channel. A real, multi-part MTP build, but contained to a single live-data snapshot with no real-time or historical-data complexity.","Grounded in the persona's own quote, I check my fantasy team's box score every morning, plus the two required cTrader MCP calls, get_balance and get_positions, were live-tested against the actual local server and confirmed working.","Build this first, before anything else in this set. It is not really optional, it is the foundation Post-Game Recap and every other idea explicitly depends on. The main open risk is not feasibility, that is now confirmed, it is whether the basketball-metaphor mapping itself lands with real users, which only gets tested once this exists."
recommendation,"Recommendation","","","","","","","","","","Build Pre-Match first, it is the foundation every other idea in this set, including Post-Game Recap, depends on. Once it exists, layer in Post-Game Recap and the rest of the High Potential set: Rivalry Mode, Injury Report and Buzzer Beater Recap since they are nearly free, then Away Game Mode, Coach's Challenge, Bench Player Mode, and Draft Day Referral. Test the two Bets, Starting Five Setup and Foul Language Toggle, cheaply alongside them. Sequence the Risky Investments after the daily habit is proven, Technical Foul Warning first since it is safety-critical, then Foul Trouble Alerts, then Overtime Warning, then Season Pass Tiers last since it depends on features that do not exist yet. Drop all four Distractions, MVP Badge, Trade Deadline Digest, Free Throw Practice, and Custom Time-of-Day Reports, they are redundant, contradict the daily-habit thesis, or add cost without evidence."
